fixture_id,league,date,kickoff,home_id,away_id
2026-08-21|arsenal|vs|coventry,Premier League,2026-08-21,21/08/2026 21:00,arsenal,coventry
2026-08-22|hull|vs|manchester-united,Premier League,2026-08-22,22/08/2026 13:30,hull,manchester-united
2026-08-22|nottingham-forest|vs|leeds-united,Premier League,2026-08-22,22/08/2026 16:00,nottingham-forest,leeds-united
2026-08-22|ipswich-town|vs|sunderland,Premier League,2026-08-22,22/08/2026 16:00,ipswich-town,sunderland
2026-08-22|everton|vs|crystal-palace,Premier League,2026-08-22,22/08/2026 16:00,everton,crystal-palace
2026-08-22|brentford|vs|tottenham,Premier League,2026-08-22,22/08/2026 18:30,brentford,tottenham
2026-08-23|manchester-city|vs|bournemouth,Premier League,2026-08-23,23/08/2026 15:00,manchester-city,bournemouth
2026-08-23|brighton|vs|aston-villa,Premier League,2026-08-23,23/08/2026 15:00,brighton,aston-villa
2026-08-23|newcastle-united|vs|liverpool,Premier League,2026-08-23,23/08/2026 17:30,newcastle-united,liverpool
2026-08-24|fulham|vs|chelsea,Premier League,2026-08-24,24/08/2026 21:00,fulham,chelsea
2026-08-20|rayo-vallecano|vs|deportivo-alav-s,La Liga,2026-08-20,20/08/2026 21:00,rayo-vallecano,deportivo-alav-s
2026-08-21|real-betis|vs|real-sociedad,La Liga,2026-08-21,21/08/2026 21:00,real-betis,real-sociedad
2026-08-22|athletic-bilbao|vs|sevilla,La Liga,2026-08-22,22/08/2026 17:00,athletic-bilbao,sevilla
2026-08-22|valencia|vs|celta-vigo,La Liga,2026-08-22,22/08/2026 19:30,valencia,celta-vigo
2026-08-22|espanyol|vs|real-madrid,La Liga,2026-08-22,22/08/2026 21:30,espanyol,real-madrid
2026-08-23|atl-tico-madrid|vs|villarreal,La Liga,2026-08-23,23/08/2026 17:00,atl-tico-madrid,villarreal
2026-08-23|getafe|vs|racing-santander,La Liga,2026-08-23,23/08/2026 19:30,getafe,racing-santander
2026-08-23|elche|vs|barcelona,La Liga,2026-08-23,23/08/2026 21:30,elche,barcelona
2026-08-24|osasuna|vs|levante,La Liga,2026-08-24,24/08/2026 19:30,osasuna,levante
2026-08-24|m-laga-cf|vs|deportivo-la-coru-a,La Liga,2026-08-24,24/08/2026 21:30,m-laga-cf,deportivo-la-coru-a
