site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
forebet,2495546,Premier League,2026-08-21,21/08/2026 21:00,Arsenal,Coventry City,1x2,1,79,11,10,avg=3.24,2026-08-19T17:42:27Z
forebet,2495546,Premier League,2026-08-21,21/08/2026 21:00,Arsenal,Coventry City,correct_score,3 - 0,,,,avg=3.24,2026-08-19T17:42:27Z
forebet,2495546,Premier League,2026-08-21,21/08/2026 21:00,Arsenal,Coventry City,over_under,Over,35,65,,,2026-08-19T17:42:27Z
forebet,2495546,Premier League,2026-08-21,21/08/2026 21:00,Arsenal,Coventry City,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2495547,Premier League,2026-08-22,22/08/2026 13:30,Hull City,Manchester United,1x2,2,19,28,54,avg=2.89,2026-08-19T17:42:27Z
forebet,2495547,Premier League,2026-08-22,22/08/2026 13:30,Hull City,Manchester United,correct_score,0 - 3,,,,avg=2.89,2026-08-19T17:42:27Z
forebet,2495547,Premier League,2026-08-22,22/08/2026 13:30,Hull City,Manchester United,over_under,Over,42,58,,,2026-08-19T17:42:27Z
forebet,2495547,Premier League,2026-08-22,22/08/2026 13:30,Hull City,Manchester United,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2495548,Premier League,2026-08-22,22/08/2026 16:00,Nottingham Forest,Leeds United,1x2,X,35,37,28,avg=2.40,2026-08-19T17:42:27Z
forebet,2495548,Premier League,2026-08-22,22/08/2026 16:00,Nottingham Forest,Leeds United,correct_score,1 - 1,,,,avg=2.40,2026-08-19T17:42:27Z
forebet,2495548,Premier League,2026-08-22,22/08/2026 16:00,Nottingham Forest,Leeds United,over_under,Under,52,48,,,2026-08-19T17:42:27Z
forebet,2495548,Premier League,2026-08-22,22/08/2026 16:00,Nottingham Forest,Leeds United,btts,Yes,43,57,,,2026-08-19T17:42:27Z
forebet,2495549,Premier League,2026-08-22,22/08/2026 16:00,Ipswich Town,Sunderland,1x2,1,38,27,36,avg=2.56,2026-08-19T17:42:27Z
forebet,2495549,Premier League,2026-08-22,22/08/2026 16:00,Ipswich Town,Sunderland,correct_score,2 - 1,,,,avg=2.56,2026-08-19T17:42:27Z
forebet,2495549,Premier League,2026-08-22,22/08/2026 16:00,Ipswich Town,Sunderland,over_under,Over,49,51,,,2026-08-19T17:42:27Z
forebet,2495549,Premier League,2026-08-22,22/08/2026 16:00,Ipswich Town,Sunderland,btts,Yes,41,59,,,2026-08-19T17:42:27Z
forebet,2495550,Premier League,2026-08-22,22/08/2026 16:00,Everton,Crystal Palace,1x2,1,42,28,29,avg=2.64,2026-08-19T17:42:27Z
forebet,2495550,Premier League,2026-08-22,22/08/2026 16:00,Everton,Crystal Palace,correct_score,2 - 1,,,,avg=2.64,2026-08-19T17:42:27Z
forebet,2495550,Premier League,2026-08-22,22/08/2026 16:00,Everton,Crystal Palace,over_under,Over,47,53,,,2026-08-19T17:42:27Z
forebet,2495550,Premier League,2026-08-22,22/08/2026 16:00,Everton,Crystal Palace,btts,Yes,44,56,,,2026-08-19T17:42:27Z
forebet,2495551,Premier League,2026-08-22,22/08/2026 18:30,Brentford,Tottenham,1x2,2,30,32,38,avg=2.75,2026-08-19T17:42:27Z
forebet,2495551,Premier League,2026-08-22,22/08/2026 18:30,Brentford,Tottenham,correct_score,1 - 2,,,,avg=2.75,2026-08-19T17:42:27Z
forebet,2495551,Premier League,2026-08-22,22/08/2026 18:30,Brentford,Tottenham,over_under,Over,45,55,,,2026-08-19T17:42:27Z
forebet,2495551,Premier League,2026-08-22,22/08/2026 18:30,Brentford,Tottenham,btts,Yes,38,62,,,2026-08-19T17:42:27Z
forebet,2495552,Premier League,2026-08-23,23/08/2026 15:00,Manchester City,Bournemouth,1x2,1,67,19,14,avg=3.37,2026-08-19T17:42:27Z
forebet,2495552,Premier League,2026-08-23,23/08/2026 15:00,Manchester City,Bournemouth,correct_score,3 - 0,,,,avg=3.37,2026-08-19T17:42:27Z
forebet,2495552,Premier League,2026-08-23,23/08/2026 15:00,Manchester City,Bournemouth,over_under,Over,33,67,,,2026-08-19T17:42:27Z
forebet,2495552,Premier League,2026-08-23,23/08/2026 15:00,Manchester City,Bournemouth,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2495553,Premier League,2026-08-23,23/08/2026 15:00,Brighton,Aston Villa,1x2,2,30,28,42,avg=2.77,2026-08-19T17:42:27Z
forebet,2495553,Premier League,2026-08-23,23/08/2026 15:00,Brighton,Aston Villa,correct_score,1 - 2,,,,avg=2.77,2026-08-19T17:42:27Z
forebet,2495553,Premier League,2026-08-23,23/08/2026 15:00,Brighton,Aston Villa,over_under,Over,45,55,,,2026-08-19T17:42:27Z
forebet,2495553,Premier League,2026-08-23,23/08/2026 15:00,Brighton,Aston Villa,btts,Yes,36,64,,,2026-08-19T17:42:27Z
forebet,2495554,Premier League,2026-08-23,23/08/2026 17:30,Newcastle United,Liverpool,1x2,2,38,18,44,avg=3.20,2026-08-19T17:42:27Z
forebet,2495554,Premier League,2026-08-23,23/08/2026 17:30,Newcastle United,Liverpool,correct_score,1 - 3,,,,avg=3.20,2026-08-19T17:42:27Z
forebet,2495554,Premier League,2026-08-23,23/08/2026 17:30,Newcastle United,Liverpool,over_under,Over,36,64,,,2026-08-19T17:42:27Z
forebet,2495554,Premier League,2026-08-23,23/08/2026 17:30,Newcastle United,Liverpool,btts,Yes,25,75,,,2026-08-19T17:42:27Z
forebet,2495555,Premier League,2026-08-24,24/08/2026 21:00,Fulham,Chelsea,1x2,2,32,25,44,avg=2.57,2026-08-19T17:42:27Z
forebet,2495555,Premier League,2026-08-24,24/08/2026 21:00,Fulham,Chelsea,correct_score,1 - 2,,,,avg=2.57,2026-08-19T17:42:27Z
forebet,2495555,Premier League,2026-08-24,24/08/2026 21:00,Fulham,Chelsea,over_under,Over,49,51,,,2026-08-19T17:42:27Z
forebet,2495555,Premier League,2026-08-24,24/08/2026 21:00,Fulham,Chelsea,btts,Yes,38,62,,,2026-08-19T17:42:27Z
forebet,2495166,La Liga,2026-08-15,15/08/2026 19:30,Deportivo Alavés,Getafe,1x2,1,36,32,33,avg=2.23,2026-08-19T17:42:27Z
forebet,2495166,La Liga,2026-08-15,15/08/2026 19:30,Deportivo Alavés,Getafe,correct_score,2 - 0,,,,avg=2.23,2026-08-19T17:42:27Z
forebet,2495166,La Liga,2026-08-15,15/08/2026 19:30,Deportivo Alavés,Getafe,over_under,Under,55,45,,,2026-08-19T17:42:27Z
forebet,2495166,La Liga,2026-08-15,15/08/2026 19:30,Deportivo Alavés,Getafe,btts,No,55,45,,,2026-08-19T17:42:27Z
forebet,2495167,La Liga,2026-08-15,15/08/2026 21:30,Sevilla,Rayo Vallecano,1x2,1,48,27,25,avg=2.67,2026-08-19T17:42:27Z
forebet,2495167,La Liga,2026-08-15,15/08/2026 21:30,Sevilla,Rayo Vallecano,correct_score,2 - 1,,,,avg=2.67,2026-08-19T17:42:27Z
forebet,2495167,La Liga,2026-08-15,15/08/2026 21:30,Sevilla,Rayo Vallecano,over_under,Over,47,53,,,2026-08-19T17:42:27Z
forebet,2495167,La Liga,2026-08-15,15/08/2026 21:30,Sevilla,Rayo Vallecano,btts,Yes,42,58,,,2026-08-19T17:42:27Z
forebet,2495168,La Liga,2026-08-16,16/08/2026 17:00,Racing Santander,Villarreal,1x2,2,33,24,44,avg=2.68,2026-08-19T17:42:27Z
forebet,2495168,La Liga,2026-08-16,16/08/2026 17:00,Racing Santander,Villarreal,correct_score,1 - 2,,,,avg=2.68,2026-08-19T17:42:27Z
forebet,2495168,La Liga,2026-08-16,16/08/2026 17:00,Racing Santander,Villarreal,over_under,Over,46,54,,,2026-08-19T17:42:27Z
forebet,2495168,La Liga,2026-08-16,16/08/2026 17:00,Racing Santander,Villarreal,btts,Yes,29,71,,,2026-08-19T17:42:27Z
forebet,2495169,La Liga,2026-08-16,16/08/2026 19:00,Espanyol,Levante,1x2,1,42,27,30,avg=2.62,2026-08-19T17:42:27Z
forebet,2495169,La Liga,2026-08-16,16/08/2026 19:00,Espanyol,Levante,correct_score,2 - 1,,,,avg=2.62,2026-08-19T17:42:27Z
forebet,2495169,La Liga,2026-08-16,16/08/2026 19:00,Espanyol,Levante,over_under,Over,48,52,,,2026-08-19T17:42:27Z
forebet,2495169,La Liga,2026-08-16,16/08/2026 19:00,Espanyol,Levante,btts,Yes,45,55,,,2026-08-19T17:42:27Z
forebet,2495171,La Liga,2026-08-17,17/08/2026 21:00,Deportivo La Coruña,Elche,1x2,1,52,23,25,avg=2.92,2026-08-19T17:42:27Z
forebet,2495171,La Liga,2026-08-17,17/08/2026 21:00,Deportivo La Coruña,Elche,correct_score,3 - 0,,,,avg=2.92,2026-08-19T17:42:27Z
forebet,2495171,La Liga,2026-08-17,17/08/2026 21:00,Deportivo La Coruña,Elche,over_under,Over,42,58,,,2026-08-19T17:42:27Z
forebet,2495171,La Liga,2026-08-17,17/08/2026 21:00,Deportivo La Coruña,Elche,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2495172,La Liga,2026-08-19,19/08/2026 21:00,Atlético Madrid,Málaga CF,1x2,1,65,14,21,avg=2.71,2026-08-19T17:42:27Z
forebet,2495172,La Liga,2026-08-19,19/08/2026 21:00,Atlético Madrid,Málaga CF,correct_score,3 - 0,,,,avg=2.71,2026-08-19T17:42:27Z
forebet,2495172,La Liga,2026-08-19,19/08/2026 21:00,Atlético Madrid,Málaga CF,over_under,Over,46,54,,,2026-08-19T17:42:27Z
forebet,2495172,La Liga,2026-08-19,19/08/2026 21:00,Atlético Madrid,Málaga CF,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2495183,La Liga,2026-08-25,25/08/2026 21:00,Valencia,Real Betis,1x2,1,41,28,30,avg=2.80,2026-08-19T17:42:27Z
forebet,2495183,La Liga,2026-08-25,25/08/2026 21:00,Valencia,Real Betis,correct_score,2 - 1,,,,avg=2.80,2026-08-19T17:42:27Z
forebet,2495183,La Liga,2026-08-25,25/08/2026 21:00,Valencia,Real Betis,over_under,Over,44,56,,,2026-08-19T17:42:27Z
forebet,2495183,La Liga,2026-08-25,25/08/2026 21:00,Valencia,Real Betis,btts,Yes,37,63,,,2026-08-19T17:42:27Z
forebet,2495184,La Liga,2026-08-26,26/08/2026 21:00,Real Madrid,Real Sociedad,1x2,1,63,19,18,avg=3.19,2026-08-19T17:42:27Z
forebet,2495184,La Liga,2026-08-26,26/08/2026 21:00,Real Madrid,Real Sociedad,correct_score,4 - 0,,,,avg=3.19,2026-08-19T17:42:27Z
forebet,2495184,La Liga,2026-08-26,26/08/2026 21:00,Real Madrid,Real Sociedad,over_under,Over,36,64,,,2026-08-19T17:42:27Z
