site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
eaglepredict,8558092,Premier League,2026-09-06,16:00,Everton,Manchester United,over_under,Under  4.5 Goals,,,,1.11,2026-09-06T04:45:25Z
eaglepredict,8557844,Premier League,2026-09-06,18:30,Arsenal,Chelsea,double_chance,Double Chance: Arsenal or Draw,,,,1.19,2026-09-06T04:45:25Z
eaglepredict,8570411,La Liga,2026-09-06,17:15,Valencia,Barcelona,over_under,Under  4.5 Goals,,,,1.32,2026-09-06T04:45:25Z
eaglepredict,8570386,La Liga,2026-09-06,19:30,Deportivo Alavés,Osasuna,double_chance,Double Chance: Deportivo Alavés or Draw,,,,1.33,2026-09-06T04:45:25Z
eaglepredict,8570399,La Liga,2026-09-06,19:30,Málaga CF,Levante UD,double_chance,Double Chance: Málaga CF or Draw,,,,1.40,2026-09-06T04:45:25Z
eaglepredict,8570421,La Liga,2026-09-06,22:00,Espanyol,Sevilla,over_under,Under  2.5 Goals,,,,1.67,2026-09-06T04:45:25Z
eaglepredict,8570420,La Liga,2026-09-07,20:00,Getafe,Celta de Vigo,double_chance,Double Chance: Getafe or Draw,,,,1.37,2026-09-06T04:45:25Z
eaglepredict,8570427,La Liga,2026-09-07,22:30,Elche CF,Real Sociedad,over_under,Under  3.5 Goals,,,,1.31,2026-09-06T04:45:25Z
eaglepredict,8572511,Bundesliga,2026-09-06,16:30,Hamburger SV,Mainz 05,double_chance,Double Chance: Draw or Mainz 05,,,,1.49,2026-09-06T04:45:25Z
eaglepredict,8572515,Bundesliga,2026-09-06,18:30,Eintracht Frankfurt,Augsburg,btts,BTTS - Yes,,,,1.41,2026-09-06T04:45:25Z
eaglepredict,8545035,Serie A,2026-09-06,16:00,Frosinone,Venezia,btts,BTTS - Yes,,,,1.71,2026-09-06T04:45:25Z
eaglepredict,8545076,Serie A,2026-09-06,16:00,Parma,Monza,double_chance,Double Chance: Parma or Draw,,,,1.47,2026-09-06T04:45:25Z
eaglepredict,8545082,Serie A,2026-09-06,19:00,Bologna,Sassuolo,double_chance,Double Chance: Bologna or Draw,,,,1.30,2026-09-06T04:45:25Z
eaglepredict,8545079,Serie A,2026-09-06,21:45,Juventus,Milan,btts,BTTS - Yes,,,,1.73,2026-09-06T04:45:25Z
eaglepredict,8545071,Serie A,2026-09-07,19:30,Cagliari,Lecce,over_under,Under  2.5 Goals,,,,1.53,2026-09-06T04:45:25Z
eaglepredict,8545042,Serie A,2026-09-07,21:45,Udinese,Lazio,over_under,Under  4.5 Goals,,,,1.00,2026-09-06T04:45:25Z
eaglepredict,8548651,Ligue 1,2026-09-06,16:00,Troyes,Strasbourg,over_under,Under  2.5 Goals,,,,1.85,2026-09-06T04:45:25Z
eaglepredict,8548630,Ligue 1,2026-09-06,18:15,Angers,Rennes,btts,BTTS - Yes,,,,1.62,2026-09-06T04:45:25Z
eaglepredict,8548644,Ligue 1,2026-09-06,21:45,Olympique Marseille,Paris,double_chance,Double Chance: Olympique Marseille or Draw,,,,1.19,2026-09-06T04:45:25Z
eaglepredict,8547617,Eredivisie,2026-09-06,13:15,Groningen,Twente,1x2,Twente Win,,,,1.98,2026-09-06T04:45:25Z
eaglepredict,8547619,Eredivisie,2026-09-06,15:30,Telstar,Cambuur,double_chance,Double Chance: Telstar or Draw,,,,1.17,2026-09-06T04:45:25Z
eaglepredict,8547620,Eredivisie,2026-09-06,15:30,Heerenveen,AZ,btts,BTTS - Yes,,,,1.47,2026-09-06T04:45:25Z
eaglepredict,8547639,Eredivisie,2026-09-06,17:45,ADO Den Haag,Fortuna Sittard,over_under,Under  4.5 Goals,,,,1.23,2026-09-06T04:45:25Z
eaglepredict,8547845,Eredivisie,2026-09-08,19:45,NEC,Excelsior,1x2,NEC Win,,,,1.49,2026-09-06T04:45:25Z
eaglepredict,8574256,Primeira Liga,2026-09-06,17:30,Santa Clara,Rio Ave FC,double_chance,Double Chance: Draw or Rio Ave FC,,,,1.87,2026-09-06T04:45:25Z
eaglepredict,8574312,Primeira Liga,2026-09-06,20:00,Vitória Guimarães,Casa Pia,double_chance,Double Chance: Vitória Guimarães or Draw,,,,1.09,2026-09-06T04:45:25Z
eaglepredict,8574376,Primeira Liga,2026-09-06,22:30,Gil Vicente,Academico Viseu,over_under,Under  2.5 Goals,,,,1.76,2026-09-06T04:45:25Z
eaglepredict,8574455,Primeira Liga,2026-09-07,22:15,GD Estoril Praia,FC Arouca,double_chance,Double Chance: GD Estoril Praia or Draw,,,,1.33,2026-09-06T04:45:25Z
