site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
flashscore,ObA4gvV1,Premier League,2026-09-18,2026-09-18 19:00,Brentford,Chelsea,over_under,Over,,,,Both teams to score and over 2.5 goals seems to be a standout choice in a clash between two sides who tend to be involved in high-scoring affairs.,2026-09-18T14:21:11Z
flashscore,ObA4gvV1,Premier League,2026-09-18,2026-09-18 19:00,Brentford,Chelsea,btts,Yes,,,,Both teams to score and over 2.5 goals seems to be a standout choice in a clash between two sides who tend to be involved in high-scoring affairs.,2026-09-18T14:21:11Z
flashscore,4Sl9Mxal,Premier League,2026-09-19,2026-09-19 11:30,Tottenham,Aston Villa,over_under,Under,,,,"With neither side particularly threatening in front of goal, this encounter could produce under 2.5 goals.",2026-09-18T14:21:11Z
flashscore,j52jHsN8,Premier League,2026-09-19,2026-09-19 14:00,Brighton,Arsenal,1x2,X,,,,"If Arsenal find Brighton difficult to break down, then backing Draw/Arsenal in the Half-Time/Full-Time market might be worthwhile.",2026-09-18T14:21:11Z
flashscore,rDKcFLiL,Premier League,2026-09-19,2026-09-19 14:00,Everton,Ipswich,over_under,Over,,,,"Ipswich games tend to produce goals aplenty, so an audacious punt on over 3.5 goals might be worth considering.",2026-09-18T14:21:11Z
flashscore,nTaVTK6E,Premier League,2026-09-19,2026-09-19 14:00,Newcastle,Hull,1x2,X,,,,"Given their imperious start to the campaign and H2H returns here, backing Draw/Hull in the double chance market holds plenty of appeal here.",2026-09-18T14:21:11Z
flashscore,joCde00k,Premier League,2026-09-20,2026-09-20 13:00,Bournemouth,Liverpool,btts,Yes,,,,"Nobody knows this Bournemouth side better than Iraola, so backing him to use that experience and guide Liverpool to a win with both teams scoring seems a logical play.",2026-09-18T14:21:11Z
flashscore,n99y8wpe,Premier League,2026-09-20,2026-09-20 13:00,Leeds,Crystal Palace,1x2,1,,,,"The hosts are flying and the Elland Road atmosphere plays a huge factor, so Leeds to win and both teams to score appears a suitable combination here.",2026-09-18T14:21:11Z
flashscore,n99y8wpe,Premier League,2026-09-20,2026-09-20 13:00,Leeds,Crystal Palace,btts,Yes,,,,"The hosts are flying and the Elland Road atmosphere plays a huge factor, so Leeds to win and both teams to score appears a suitable combination here.",2026-09-18T14:21:11Z
flashscore,fZCq6HE7,Premier League,2026-09-20,2026-09-20 13:00,Manchester City,Sunderland,1x2,1,,,,Sunderland’s tendency to score on the road hints that Manchester City to win and both teams to score is the value pick here.,2026-09-18T14:21:11Z
flashscore,fZCq6HE7,Premier League,2026-09-20,2026-09-20 13:00,Manchester City,Sunderland,btts,Yes,,,,Sunderland’s tendency to score on the road hints that Manchester City to win and both teams to score is the value pick here.,2026-09-18T14:21:11Z
flashscore,vq6T9aFr,Premier League,2026-09-20,2026-09-20 15:30,Fulham,Manchester Utd,1x2,1,,,,United’s troubles make backing Fulham in the double chance market an appealing option.,2026-09-18T14:21:11Z
flashscore,00VbGuWQ,LaLiga,2026-09-18,2026-09-18 19:00,Espanyol,Elche,1x2,1,,,,"Given the energy Elche put into their gut-wrenching midweek defeat, Espanyol to win both halves looks a sensible pick here.",2026-09-18T14:21:11Z
flashscore,UcUy9cO0,LaLiga,2026-09-19,2026-09-19 12:00,Osasuna,Rayo Vallecano,btts,Yes,,,,Vallecano’s form and the H2H history point towards both teams scoring here.,2026-09-18T14:21:11Z
flashscore,QTZ4fb97,LaLiga,2026-09-19,2026-09-19 16:30,Celta Vigo,Racing Santander,1x2,X,,,,"Given the teams’ early-season form and recent H2Hs at Balaídos, Racing in the draw no bet market looks a sensible pick here.",2026-09-18T14:21:11Z
flashscore,xOXq7ygD,LaLiga,2026-09-19,2026-09-19 19:00,Sevilla,Barcelona,1x2,2,,,,Four of the last five H2Hs ended in a Barcelona win with both teams scoring and that trend could continue here.,2026-09-18T14:21:11Z
flashscore,xOXq7ygD,LaLiga,2026-09-19,2026-09-19 19:00,Sevilla,Barcelona,btts,Yes,,,,Four of the last five H2Hs ended in a Barcelona win with both teams scoring and that trend could continue here.,2026-09-18T14:21:11Z
flashscore,hzSjI11E,LaLiga,2026-09-20,2026-09-20 16:30,Dep. A Coruna,Betis,1x2,2,,,,"With their current streak of narrow victories, backing Betis to win by a single-goal margin looks like a solid option.",2026-09-18T14:21:11Z
flashscore,00B1PI8s,LaLiga,2026-09-20,2026-09-20 16:30,Villarreal,Levante,1x2,1,,,,"The hosts may have a win under their belt, but they still look vulnerable defensively, so backing Villarreal to win and both teams to score could be an approach worth considering.",2026-09-18T14:21:11Z
flashscore,00B1PI8s,LaLiga,2026-09-20,2026-09-20 16:30,Villarreal,Levante,btts,Yes,,,,"The hosts may have a win under their belt, but they still look vulnerable defensively, so backing Villarreal to win and both teams to score could be an approach worth considering.",2026-09-18T14:21:11Z
flashscore,UHKVUvoK,LaLiga,2026-09-20,2026-09-20 19:00,Valencia,Real Sociedad,1x2,X,,,,The trends of both teams this season lean towards a half-time draw here.,2026-09-18T14:21:11Z
flashscore,jm14ULS8,Bundesliga,2026-09-18,2026-09-18 18:30,Bayern Munich,Union Berlin,1x2,1,,,,"It is difficult to make a case for the visitors here, so backing Bayern to win by 3+ goals may provide a route to value.",2026-09-18T14:21:11Z
flashscore,YgibJeK7,Bundesliga,2026-09-19,2026-09-19 13:30,B. Monchengladbach,Mainz,1x2,1,,,,"Mainz appear primed to capitalise on the hosts’ current crisis, so Amiri to score in a Mainz win looks particularly appealing here.",2026-09-18T14:21:11Z
flashscore,0tgjLHke,Bundesliga,2026-09-19,2026-09-19 13:30,Eintracht Frankfurt,Freiburg,1x2,2,,,,"With Frankfurt’s recent defensive record at home and Freiburg’s scoring exploits this season, backing the visitors to score between two and four goals looks like a solid approach.",2026-09-18T14:21:11Z
flashscore,00qpsaCE,Bundesliga,2026-09-19,2026-09-19 13:30,Hamburger SV,FC Koln,over_under,Over,,,,"Hamburg and Cologne jointly possess the longest run without a clean sheet among current Bundesliga teams with 17, meaning both teams to score and over 2.5 goals is on the cards.",2026-09-18T14:21:11Z
flashscore,00qpsaCE,Bundesliga,2026-09-19,2026-09-19 13:30,Hamburger SV,FC Koln,btts,Yes,,,,"Hamburg and Cologne jointly possess the longest run without a clean sheet among current Bundesliga teams with 17, meaning both teams to score and over 2.5 goals is on the cards.",2026-09-18T14:21:11Z
flashscore,8QnhuwsR,Bundesliga,2026-09-19,2026-09-19 13:30,Werder Bremen,Augsburg,1x2,2,,,,"Given their strong H2H form and impressive start to the campaign, it could be worth backing Augsburg to win here.",2026-09-18T14:21:11Z
flashscore,fqjrNwLr,Bundesliga,2026-09-20,2026-09-20 13:30,Bayer Leverkusen,RB Leipzig,1x2,1,,,,"With Leverkusen strong at home and Leipzig’s recent away games regularly producing goals, backing Leverkusen to win and both teams to score could be worth pursuing.",2026-09-18T14:21:11Z
flashscore,fqjrNwLr,Bundesliga,2026-09-20,2026-09-20 13:30,Bayer Leverkusen,RB Leipzig,btts,Yes,,,,"With Leverkusen strong at home and Leipzig’s recent away games regularly producing goals, backing Leverkusen to win and both teams to score could be worth pursuing.",2026-09-18T14:21:11Z
flashscore,4dYNZG4l,Bundesliga,2026-09-20,2026-09-20 15:30,Schalke,Elversberg,btts,Yes,,,,A difficult game to call a result between two promoted sides could hint that both teams to score is an alternative route to value.,2026-09-18T14:21:11Z
flashscore,xOoVXfZ0,Bundesliga,2026-09-20,2026-09-20 17:30,Paderborn,Hoffenheim,1x2,1,,,,"Given how difficult Paderborn have found it to adapt, and their home struggles, combining a Hoffenheim win and over 2.5 goals could bear fruit.",2026-09-18T14:21:11Z
flashscore,xOoVXfZ0,Bundesliga,2026-09-20,2026-09-20 17:30,Paderborn,Hoffenheim,over_under,Over,,,,"Given how difficult Paderborn have found it to adapt, and their home struggles, combining a Hoffenheim win and over 2.5 goals could bear fruit.",2026-09-18T14:21:11Z
flashscore,p2Id0Xtg,Serie A,2026-09-18,2026-09-18 18:45,Monza,Sassuolo,over_under,Over,,,,"Neither of these teams have kept a clean sheet yet this season, so both teams to score and over 2.5 goals is an obvious choice.",2026-09-18T14:21:11Z
flashscore,p2Id0Xtg,Serie A,2026-09-18,2026-09-18 18:45,Monza,Sassuolo,btts,Yes,,,,"Neither of these teams have kept a clean sheet yet this season, so both teams to score and over 2.5 goals is an obvious choice.",2026-09-18T14:21:11Z
flashscore,pzvCdktI,Serie A,2026-09-19,2026-09-19 16:00,AS Roma,Inter,over_under,Over,,,,The historical H2H goal trend and the way these two have been scoring this season brings backing over 3.5 goals into play as a possible option.,2026-09-18T14:21:11Z
flashscore,8CHTEWen,Serie A,2026-09-19,2026-09-19 18:45,Venezia,Lazio,1x2,2,,,,"Value looks hard to come by here, with Lazio to win without conceding perhaps the best option.",2026-09-18T14:21:11Z
flashscore,hSL4bBB5,Serie A,2026-09-20,2026-09-20 13:00,Parma,Genoa,over_under,Under,,,,"With each of the last five H2Hs producing under 2.5 goals, backing a repeat outcome seems a smart approach to take.",2026-09-18T14:21:11Z
flashscore,dSbbQWMk,Ligue 1,2026-09-18,2026-09-18 18:45,Monaco,Lens,1x2,1,,,,Monaco look well-placed to continue their strong home form here so backing Monaco to win and score 2+ goals in the process makes sense.,2026-09-18T14:21:11Z
