site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
forebet,2495566,Premier League,2026-09-04,04/09/2026 21:00,Ipswich Town,Liverpool,1x2,X,22,52,26,avg=3.38,2026-09-04T08:37:17Z
forebet,2495566,Premier League,2026-09-04,04/09/2026 21:00,Ipswich Town,Liverpool,correct_score,2 - 2,,,,avg=3.38,2026-09-04T08:37:17Z
forebet,2495566,Premier League,2026-09-04,04/09/2026 21:00,Ipswich Town,Liverpool,over_under,Over,32,68,,,2026-09-04T08:37:17Z
forebet,2495566,Premier League,2026-09-04,04/09/2026 21:00,Ipswich Town,Liverpool,btts,Yes,24,76,,,2026-09-04T08:37:17Z
forebet,2495567,Premier League,2026-09-05,05/09/2026 13:30,Newcastle United,Bournemouth,1x2,1,40,39,20,avg=3.09,2026-09-04T08:37:17Z
forebet,2495567,Premier League,2026-09-05,05/09/2026 13:30,Newcastle United,Bournemouth,correct_score,2 - 1,,,,avg=3.09,2026-09-04T08:37:17Z
forebet,2495567,Premier League,2026-09-05,05/09/2026 13:30,Newcastle United,Bournemouth,over_under,Over,38,62,,,2026-09-04T08:37:17Z
forebet,2495567,Premier League,2026-09-05,05/09/2026 13:30,Newcastle United,Bournemouth,btts,Yes,33,67,,,2026-09-04T08:37:17Z
forebet,2495568,Premier League,2026-09-05,05/09/2026 16:00,Nottingham Forest,Tottenham,1x2,1,40,29,31,avg=2.64,2026-09-04T08:37:17Z
forebet,2495568,Premier League,2026-09-05,05/09/2026 16:00,Nottingham Forest,Tottenham,correct_score,2 - 1,,,,avg=2.64,2026-09-04T08:37:17Z
forebet,2495568,Premier League,2026-09-05,05/09/2026 16:00,Nottingham Forest,Tottenham,over_under,Over,47,53,,,2026-09-04T08:37:17Z
forebet,2495568,Premier League,2026-09-05,05/09/2026 16:00,Nottingham Forest,Tottenham,btts,Yes,40,60,,,2026-09-04T08:37:17Z
forebet,2495569,Premier League,2026-09-05,05/09/2026 16:00,Manchester City,Coventry City,1x2,1,60,20,21,avg=2.80,2026-09-04T08:37:17Z
forebet,2495569,Premier League,2026-09-05,05/09/2026 16:00,Manchester City,Coventry City,correct_score,2 - 1,,,,avg=2.80,2026-09-04T08:37:17Z
forebet,2495569,Premier League,2026-09-05,05/09/2026 16:00,Manchester City,Coventry City,over_under,Over,44,56,,,2026-09-04T08:37:17Z
forebet,2495569,Premier League,2026-09-05,05/09/2026 16:00,Manchester City,Coventry City,btts,Yes,25,75,,,2026-09-04T08:37:17Z
forebet,2495570,Premier League,2026-09-05,05/09/2026 16:00,Fulham,Crystal Palace,1x2,1,50,29,21,avg=2.58,2026-09-04T08:37:17Z
forebet,2495570,Premier League,2026-09-05,05/09/2026 16:00,Fulham,Crystal Palace,correct_score,2 - 1,,,,avg=2.58,2026-09-04T08:37:17Z
forebet,2495570,Premier League,2026-09-05,05/09/2026 16:00,Fulham,Crystal Palace,over_under,Over,48,52,,,2026-09-04T08:37:17Z
forebet,2495570,Premier League,2026-09-05,05/09/2026 16:00,Fulham,Crystal Palace,btts,Yes,44,56,,,2026-09-04T08:37:17Z
forebet,2495571,Premier League,2026-09-05,05/09/2026 16:00,Brighton,Leeds United,1x2,X,29,42,28,avg=2.60,2026-09-04T08:37:17Z
forebet,2495571,Premier League,2026-09-05,05/09/2026 16:00,Brighton,Leeds United,correct_score,3 - 3,,,,avg=2.60,2026-09-04T08:37:17Z
forebet,2495571,Premier League,2026-09-05,05/09/2026 16:00,Brighton,Leeds United,over_under,Over,48,52,,,2026-09-04T08:37:17Z
forebet,2495571,Premier League,2026-09-05,05/09/2026 16:00,Brighton,Leeds United,btts,Yes,28,72,,,2026-09-04T08:37:17Z
forebet,2495572,Premier League,2026-09-05,05/09/2026 16:00,Brentford,Sunderland,1x2,1,48,28,24,avg=3.00,2026-09-04T08:37:17Z
forebet,2495572,Premier League,2026-09-05,05/09/2026 16:00,Brentford,Sunderland,correct_score,2 - 1,,,,avg=3.00,2026-09-04T08:37:17Z
forebet,2495572,Premier League,2026-09-05,05/09/2026 16:00,Brentford,Sunderland,over_under,Over,40,60,,,2026-09-04T08:37:17Z
forebet,2495572,Premier League,2026-09-05,05/09/2026 16:00,Brentford,Sunderland,btts,Yes,41,59,,,2026-09-04T08:37:17Z
