site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
sportsgambler,bournemouth-vs-brentford,Premier League,2026-09-12,17:00 - Sat 12 Sep,Bournemouth,Brentford,correct_score,1 - 0,,,,Bournemouth Asian Hcp 0.0 @ 1.76,2026-09-12T13:04:52Z
sportsgambler,bournemouth-vs-brentford,Premier League,2026-09-12,17:00 - Sat 12 Sep,Bournemouth,Brentford,1x2,1,,,,Bournemouth Asian Hcp 0.0 @ 1.76,2026-09-12T13:04:52Z
sportsgambler,bournemouth-vs-brentford,Premier League,2026-09-12,17:00 - Sat 12 Sep,Bournemouth,Brentford,btts,No,,,,Bournemouth Asian Hcp 0.0 @ 1.76,2026-09-12T13:04:52Z
sportsgambler,bournemouth-vs-brentford,Premier League,2026-09-12,17:00 - Sat 12 Sep,Bournemouth,Brentford,over_under,Under,,,,Bournemouth Asian Hcp 0.0 @ 1.76,2026-09-12T13:04:52Z
sportsgambler,aston-villa-vs-nottingham-forest,Premier League,2026-09-12,17:00 - Sat 12 Sep,Aston Villa,Nottingham Forest,correct_score,2 - 1,,,,Over 2.5 Goals @ 1.87,2026-09-12T13:04:52Z
sportsgambler,aston-villa-vs-nottingham-forest,Premier League,2026-09-12,17:00 - Sat 12 Sep,Aston Villa,Nottingham Forest,1x2,1,,,,Over 2.5 Goals @ 1.87,2026-09-12T13:04:52Z
sportsgambler,aston-villa-vs-nottingham-forest,Premier League,2026-09-12,17:00 - Sat 12 Sep,Aston Villa,Nottingham Forest,btts,Yes,,,,Over 2.5 Goals @ 1.87,2026-09-12T13:04:52Z
sportsgambler,aston-villa-vs-nottingham-forest,Premier League,2026-09-12,17:00 - Sat 12 Sep,Aston Villa,Nottingham Forest,over_under,Over,,,,Over 2.5 Goals @ 1.87,2026-09-12T13:04:52Z
sportsgambler,chelsea-vs-hull,Premier League,2026-09-12,17:00 - Sat 12 Sep,Chelsea,Hull,correct_score,1 - 0,,,,Hull Asian Hcp +2 @ 1.79,2026-09-12T13:04:52Z
sportsgambler,chelsea-vs-hull,Premier League,2026-09-12,17:00 - Sat 12 Sep,Chelsea,Hull,1x2,1,,,,Hull Asian Hcp +2 @ 1.79,2026-09-12T13:04:52Z
sportsgambler,chelsea-vs-hull,Premier League,2026-09-12,17:00 - Sat 12 Sep,Chelsea,Hull,btts,No,,,,Hull Asian Hcp +2 @ 1.79,2026-09-12T13:04:52Z
sportsgambler,chelsea-vs-hull,Premier League,2026-09-12,17:00 - Sat 12 Sep,Chelsea,Hull,over_under,Under,,,,Hull Asian Hcp +2 @ 1.79,2026-09-12T13:04:52Z
sportsgambler,crystal-palace-vs-ipswich,Premier League,2026-09-12,17:00 - Sat 12 Sep,Crystal Palace,Ipswich,correct_score,1 - 1,,,,Both Teams To Score - Yes @ 1.70,2026-09-12T13:04:52Z
sportsgambler,crystal-palace-vs-ipswich,Premier League,2026-09-12,17:00 - Sat 12 Sep,Crystal Palace,Ipswich,1x2,X,,,,Both Teams To Score - Yes @ 1.70,2026-09-12T13:04:52Z
sportsgambler,crystal-palace-vs-ipswich,Premier League,2026-09-12,17:00 - Sat 12 Sep,Crystal Palace,Ipswich,btts,Yes,,,,Both Teams To Score - Yes @ 1.70,2026-09-12T13:04:52Z
sportsgambler,crystal-palace-vs-ipswich,Premier League,2026-09-12,17:00 - Sat 12 Sep,Crystal Palace,Ipswich,over_under,Under,,,,Both Teams To Score - Yes @ 1.70,2026-09-12T13:04:52Z
sportsgambler,liverpool-vs-fulham,Premier League,2026-09-12,17:00 - Sat 12 Sep,Liverpool,Fulham,correct_score,2 - 0,,,,Liverpool Asian Hcp -1.25 @ 1.93,2026-09-12T13:04:52Z
sportsgambler,liverpool-vs-fulham,Premier League,2026-09-12,17:00 - Sat 12 Sep,Liverpool,Fulham,1x2,1,,,,Liverpool Asian Hcp -1.25 @ 1.93,2026-09-12T13:04:52Z
sportsgambler,liverpool-vs-fulham,Premier League,2026-09-12,17:00 - Sat 12 Sep,Liverpool,Fulham,btts,No,,,,Liverpool Asian Hcp -1.25 @ 1.93,2026-09-12T13:04:52Z
