site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
whoscored,2026-08-16|feyenoord|go-ahead-eagles|1x2,Eredivisie,2026-08-16,14:30,Feyenoord,Go Ahead Eagles,1x2,1,,,,1.18,2026-08-16T14:00:00Z
whoscored,2026-08-16|feyenoord|go-ahead-eagles|over_under,Eredivisie,2026-08-16,14:30,Feyenoord,Go Ahead Eagles,over_under,Over,,,,1.22,2026-08-16T14:00:00Z
whoscored,2026-08-16|feyenoord|go-ahead-eagles|btts,Eredivisie,2026-08-16,14:30,Feyenoord,Go Ahead Eagles,btts,Yes,,,,,2026-08-16T14:00:00Z
whoscored,2026-08-16|feyenoord|go-ahead-eagles|correct_score,Eredivisie,2026-08-16,14:30,Feyenoord,Go Ahead Eagles,correct_score,2 - 1,,,,6.6,2026-08-16T14:00:00Z
whoscored,2026-08-16|twente|pec-zwolle|1x2,Eredivisie,2026-08-16,14:30,Twente,PEC Zwolle,1x2,1,,,,1.18,2026-08-16T14:00:00Z
whoscored,2026-08-16|twente|pec-zwolle|over_under,Eredivisie,2026-08-16,14:30,Twente,PEC Zwolle,over_under,Under,,,,2.36,2026-08-16T14:00:00Z
whoscored,2026-08-16|twente|pec-zwolle|btts,Eredivisie,2026-08-16,14:30,Twente,PEC Zwolle,btts,No,,,,,2026-08-16T14:00:00Z
whoscored,2026-08-16|twente|pec-zwolle|correct_score,Eredivisie,2026-08-16,14:30,Twente,PEC Zwolle,correct_score,2 - 0,,,,5.4,2026-08-16T14:00:00Z
whoscored,2026-08-16|ajax|heerenveen|1x2,Eredivisie,2026-08-16,16:45,Ajax,SC Heerenveen,1x2,1,,,,1.39,2026-08-16T14:00:00Z
whoscored,2026-08-16|ajax|heerenveen|over_under,Eredivisie,2026-08-16,16:45,Ajax,SC Heerenveen,over_under,Under,,,,2.35,2026-08-16T14:00:00Z
whoscored,2026-08-16|ajax|heerenveen|btts,Eredivisie,2026-08-16,16:45,Ajax,SC Heerenveen,btts,No,,,,,2026-08-16T14:00:00Z
whoscored,2026-08-16|ajax|heerenveen|correct_score,Eredivisie,2026-08-16,16:45,Ajax,SC Heerenveen,correct_score,2 - 0,,,,6.5,2026-08-16T14:00:00Z
