site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
whoscored,1983571,Premier League,2026-09-20,14:00,Bournemouth,Liverpool,1x2,2,,,,2.13,2026-09-20T10:29:23Z
whoscored,1983571,Premier League,2026-09-20,14:00,Bournemouth,Liverpool,over_under,Over,,,,1.46,2026-09-20T10:29:23Z
whoscored,1983571,Premier League,2026-09-20,14:00,Bournemouth,Liverpool,btts,Yes,,,,,2026-09-20T10:29:23Z
whoscored,1983571,Premier League,2026-09-20,14:00,Bournemouth,Liverpool,correct_score,2 - 3,,,,13,2026-09-20T10:29:23Z
whoscored,1983581,Premier League,2026-09-20,14:00,Leeds,Crystal Palace,1x2,1,,,,1.67,2026-09-20T10:29:23Z
whoscored,1983581,Premier League,2026-09-20,14:00,Leeds,Crystal Palace,over_under,Over,,,,1.7,2026-09-20T10:29:23Z
whoscored,1983581,Premier League,2026-09-20,14:00,Leeds,Crystal Palace,btts,Yes,,,,,2026-09-20T10:29:23Z
whoscored,1983581,Premier League,2026-09-20,14:00,Leeds,Crystal Palace,correct_score,3 - 1,,,,10,2026-09-20T10:29:23Z
whoscored,1983583,Premier League,2026-09-20,14:00,Manchester City,Sunderland,1x2,1,,,,1.31,2026-09-20T10:29:23Z
whoscored,1983583,Premier League,2026-09-20,14:00,Manchester City,Sunderland,over_under,Under,,,,2.2,2026-09-20T10:29:23Z
whoscored,1983583,Premier League,2026-09-20,14:00,Manchester City,Sunderland,btts,No,,,,,2026-09-20T10:29:23Z
whoscored,1983583,Premier League,2026-09-20,14:00,Manchester City,Sunderland,correct_score,2 - 0,,,,5.4,2026-09-20T10:29:23Z
whoscored,1983579,Premier League,2026-09-20,16:30,Fulham,Manchester United,1x2,X,,,,3.64,2026-09-20T10:29:23Z
whoscored,1983579,Premier League,2026-09-20,16:30,Fulham,Manchester United,over_under,Under,,,,2.35,2026-09-20T10:29:23Z
whoscored,1983579,Premier League,2026-09-20,16:30,Fulham,Manchester United,btts,Yes,,,,,2026-09-20T10:29:23Z
whoscored,1983579,Premier League,2026-09-20,16:30,Fulham,Manchester United,correct_score,1 - 1,,,,5.8,2026-09-20T10:29:23Z
whoscored,1994154,LaLiga,2026-09-20,13:00,Getafe,Malaga,1x2,X,,,,2.94,2026-09-20T10:29:23Z
whoscored,1994154,LaLiga,2026-09-20,13:00,Getafe,Malaga,over_under,Under,,,,1.47,2026-09-20T10:29:23Z
whoscored,1994154,LaLiga,2026-09-20,13:00,Getafe,Malaga,btts,Yes,,,,,2026-09-20T10:29:23Z
whoscored,1994154,LaLiga,2026-09-20,13:00,Getafe,Malaga,correct_score,1 - 1,,,,4.75,2026-09-20T10:29:23Z
whoscored,1994150,LaLiga,2026-09-20,15:15,Atletico Madrid,Real Madrid,1x2,2,,,,2.01,2026-09-20T10:29:23Z
whoscored,1994150,LaLiga,2026-09-20,15:15,Atletico Madrid,Real Madrid,over_under,Over,,,,1.48,2026-09-20T10:29:23Z
whoscored,1994150,LaLiga,2026-09-20,15:15,Atletico Madrid,Real Madrid,btts,Yes,,,,,2026-09-20T10:29:23Z
whoscored,1994150,LaLiga,2026-09-20,15:15,Atletico Madrid,Real Madrid,correct_score,2 - 3,,,,13,2026-09-20T10:29:23Z
whoscored,1994152,LaLiga,2026-09-20,17:30,Deportivo de A Coruna,Real Betis,1x2,2,,,,1.94,2026-09-20T10:29:23Z
whoscored,1994152,LaLiga,2026-09-20,17:30,Deportivo de A Coruna,Real Betis,over_under,Under,,,,2.07,2026-09-20T10:29:23Z
whoscored,1994152,LaLiga,2026-09-20,17:30,Deportivo de A Coruna,Real Betis,btts,No,,,,,2026-09-20T10:29:23Z
whoscored,1994152,LaLiga,2026-09-20,17:30,Deportivo de A Coruna,Real Betis,correct_score,0 - 2,,,,8.6,2026-09-20T10:29:23Z
whoscored,1994158,LaLiga,2026-09-20,17:30,Villarreal,Levante,1x2,1,,,,1.48,2026-09-20T10:29:23Z
