site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
whoscored,1983554,Premier League,2026-08-23,14:00,Brighton,Aston Villa,1x2,X,,,,3.3,2026-08-23T11:01:49Z
whoscored,1983554,Premier League,2026-08-23,14:00,Brighton,Aston Villa,over_under,Under,,,,1.87,2026-08-23T11:01:49Z
whoscored,1983554,Premier League,2026-08-23,14:00,Brighton,Aston Villa,btts,Yes,,,,,2026-08-23T11:01:49Z
whoscored,1983554,Premier League,2026-08-23,14:00,Brighton,Aston Villa,correct_score,1 - 1,,,,5.2,2026-08-23T11:01:49Z
whoscored,1983555,Premier League,2026-08-23,14:00,Manchester City,Bournemouth,1x2,1,,,,,2026-08-23T11:01:49Z
whoscored,1983555,Premier League,2026-08-23,14:00,Manchester City,Bournemouth,over_under,Over,,,,,2026-08-23T11:01:49Z
whoscored,1983555,Premier League,2026-08-23,14:00,Manchester City,Bournemouth,btts,Yes,,,,,2026-08-23T11:01:49Z
whoscored,1983555,Premier League,2026-08-23,14:00,Manchester City,Bournemouth,correct_score,3 - 1,,,,,2026-08-23T11:01:49Z
whoscored,1983547,Premier League,2026-08-23,16:30,Newcastle,Liverpool,1x2,2,,,,,2026-08-23T11:01:49Z
whoscored,1983547,Premier League,2026-08-23,16:30,Newcastle,Liverpool,over_under,Over,,,,,2026-08-23T11:01:49Z
whoscored,1983547,Premier League,2026-08-23,16:30,Newcastle,Liverpool,btts,Yes,,,,,2026-08-23T11:01:49Z
whoscored,1983547,Premier League,2026-08-23,16:30,Newcastle,Liverpool,correct_score,1 - 2,,,,,2026-08-23T11:01:49Z
whoscored,1983550,Premier League,2026-08-24,20:00,Fulham,Chelsea,1x2,2,,,,1.8,2026-08-23T11:01:49Z
whoscored,1983550,Premier League,2026-08-24,20:00,Fulham,Chelsea,over_under,Over,,,,1.58,2026-08-23T11:01:49Z
